   1090.00   -0.10278E-01    0.10115E+00   -0.41766E-04    0.38093E-02
   1105.00   -0.11583E+00    0.79955E-01    0.80586E-04    0.47200E-02
   1120.00   -0.20071E+00    0.99684E-01   -0.17604E-03    0.86300E-02
   1135.00   -0.26480E+00    0.80748E-01    0.49023E-04    0.91979E-02
   1150.00   -0.32005E+00    0.74535E-01   -0.29894E-03    0.12905E-01
   1165.00   -0.35431E+00    0.70141E-01   -0.11745E-02    0.12543E-01
   1180.00   -0.39549E+00    0.59922E-01   -0.68207E-04    0.11850E-01
   1195.00   -0.43833E+00    0.59251E-01    0.26262E-02    0.16011E-01
   1210.00   -0.51588E+00    0.49360E-01    0.64910E-02    0.18641E-01
   1225.00   -0.51972E+00    0.50289E-01   -0.50231E-02    0.18929E-01
   1240.00   -0.52049E+00    0.48490E-01   -0.48008E-02    0.15570E-01
   1255.00   -0.49474E+00    0.52160E-01   -0.52784E-02    0.15805E-01
   1270.00   -0.45822E+00    0.46240E-01   -0.98179E-02    0.15519E-01
   1285.00   -0.51138E+00    0.43617E-01   -0.17914E-01    0.16331E-01
   1300.00   -0.51374E+00    0.42354E-01   -0.23617E-01    0.17045E-01
   1330.00   -0.50238E+00    0.41586E-01   -0.17568E-01    0.83757E-02
   1360.00   -0.49533E+00    0.38427E-01   -0.21762E-01    0.77427E-02
   1390.00   -0.52939E+00    0.36510E-01   -0.26754E-01    0.88908E-02
   1420.00   -0.52871E+00    0.33994E-01   -0.35219E-01    0.16159E-01
   1450.00   -0.54856E+00    0.31862E-01   -0.43185E-01    0.17714E-01
   1480.00   -0.53816E+00    0.28660E-01   -0.58857E-01    0.17890E-01
   1510.00   -0.55389E+00    0.28144E-01   -0.76036E-01    0.19629E-01
   1540.00   -0.51148E+00    0.25502E-01   -0.91109E-01    0.18725E-01
   1570.00   -0.44138E+00    0.23939E-01   -0.87991E-01    0.19963E-01
   1600.00   -0.44235E+00    0.29790E-01   -0.28520E-01    0.27407E-01
   1630.00   -0.41810E+00    0.58764E-01    0.44925E-01    0.32165E-01
   1660.00   -0.45494E+00    0.98677E-01    0.85412E-01    0.49835E-01
   1690.00   -0.44416E+00    0.24663E+00    0.19345E+00    0.78890E-01
   1720.00   -0.32156E+00    0.25968E+00    0.25205E+00    0.84203E-01
   1750.00   -0.42862E+00    0.22499E+00    0.10569E+00    0.16566E+00
   1780.00   -0.28519E+00    0.35667E-01    0.81162E-01    0.74365E-01
   1810.00   -0.27437E+00    0.15944E+00    0.67233E-01    0.12340E+00
   1840.00   -0.34553E+00    0.16023E+00    0.36137E-01    0.12943E+00
   1870.00   -0.32210E+00    0.12295E+00   -0.11647E+00    0.11695E+00
   1900.00   -0.38975E+00    0.31324E+00    0.14145E-01    0.25776E+00
   1930.00   -0.41814E+00    0.35793E+00    0.51963E-01    0.27024E+00
   1960.00   -0.35866E+00    0.25820E+00    0.55803E-01    0.50999E+00
   1990.00   -0.24362E+00    0.29108E+00    0.51415E-01    0.32413E+00
   2020.00   -0.32064E+00    0.21891E+00   -0.57826E-01    0.28347E+00
   2050.00   -0.35838E+00    0.19113E+00   -0.24541E-01    0.20229E+00
   2080.00   -0.35515E+00    0.31785E-01   -0.74325E-01    0.62521E-01
   2110.00   -0.33878E+00    0.15840E+00   -0.52096E-01    0.15610E+00
   2140.00   -0.31186E+00    0.17203E+00   -0.73853E-01    0.14720E+00
   2170.00   -0.26003E+00    0.28931E-01   -0.92959E-01    0.76371E-01
   2200.00   -0.31334E+00    0.98718E-01   -0.96747E-01    0.10065E+00
